"V1","bird","sex","tissue","treatment","group","study","sextissue","samples","hiloPRL","external"
"x.g49_female_gonad_n5","x.g49","female","gonads","n5","female.gonads.n5","charcterization","female_gonads","x.g49_female_gonad_n5","hi","chicks"
"x.g49_female_hypothalamus_n5","x.g49","female","hypothalamus","n5","female.hypothalamus.n5","charcterization","female_hypothalamus","x.g49_female_hypothalamus_n5","hi","chicks"
"x.g49_female_pituitary_n5.NYNO","x.g49","female","pituitary","n5","female.pituitary.n5","charcterization","female_pituitary","x.g49_female_pituitary_n5.NYNO","hi","chicks"
"x.g5.w79_male_gonad_m.inc.d3","x.g5.w79","male","gonads","m.inc.d3","male.gonads.m.inc.d3","manipulation","male_gonads","x.g5.w79_male_gonad_m.inc.d3","lo","nest"
"x.g5.w79_male_hypothalamus_m.inc.d3","x.g5.w79","male","hypothalamus","m.inc.d3","male.hypothalamus.m.inc.d3","manipulation","male_hypothalamus","x.g5.w79_male_hypothalamus_m.inc.d3","lo","nest"
"x.g5.w79_male_pituitary_m.inc.d3","x.g5.w79","male","pituitary","m.inc.d3","male.pituitary.m.inc.d3","manipulation","male_pituitary","x.g5.w79_male_pituitary_m.inc.d3","lo","nest"
"x.g50_female_gonad_inc.prolong","x.g50","female","gonads","prolong","female.gonads.prolong","manipulation","female_gonads","x.g50_female_gonad_inc.prolong","hi","eggs"
"x.g50_female_hypothalamus_inc.prolong","x.g50","female","hypothalamus","prolong","female.hypothalamus.prolong","manipulation","female_hypothalamus","x.g50_female_hypothalamus_inc.prolong","hi","eggs"
"x.g50_female_pituitary_inc.prolong","x.g50","female","pituitary","prolong","female.pituitary.prolong","manipulation","female_pituitary","x.g50_female_pituitary_inc.prolong","hi","eggs"
"x.g70_male_gonad_hatch","x.g70","male","gonads","hatch","male.gonads.hatch","charcterization","male_gonads","x.g70_male_gonad_hatch","hi","chicks"
"x.g70_male_hypothalamus_hatch","x.g70","male","hypothalamus","hatch","male.hypothalamus.hatch","charcterization","male_hypothalamus","x.g70_male_hypothalamus_hatch","hi","chicks"
"x.g70_male_pituitary_hatch","x.g70","male","pituitary","hatch","male.pituitary.hatch","charcterization","male_pituitary","x.g70_male_pituitary_hatch","hi","chicks"
"x.g9.o166_female_gonad_inc.d9.NYNO","x.g9.o166","female","gonads","inc.d9","female.gonads.inc.d9","charcterization","female_gonads","x.g9.o166_female_gonad_inc.d9.NYNO","hi","eggs"
"x.g9.o166_female_hypothalamus_inc.d9","x.g9.o166","female","hypothalamus","inc.d9","female.hypothalamus.inc.d9","charcterization","female_hypothalamus","x.g9.o166_female_hypothalamus_inc.d9","hi","eggs"
"x.g9.o166_female_pituitary_inc.d9.NYNO","x.g9.o166","female","pituitary","inc.d9","female.pituitary.inc.d9","charcterization","female_pituitary","x.g9.o166_female_pituitary_inc.d9.NYNO","hi","eggs"
"x.o117_male_gonad_m.inc.d9","x.o117","male","gonads","m.inc.d9","male.gonads.m.inc.d9","manipulation","male_gonads","x.o117_male_gonad_m.inc.d9","lo","nest"
"x.o117_male_hypothalamus_m.inc.d9","x.o117","male","hypothalamus","m.inc.d9","male.hypothalamus.m.inc.d9","manipulation","male_hypothalamus","x.o117_male_hypothalamus_m.inc.d9","lo","nest"
"x.o117_male_pituitary_m.inc.d9","x.o117","male","pituitary","m.inc.d9","male.pituitary.m.inc.d9","manipulation","male_pituitary","x.o117_male_pituitary_m.inc.d9","lo","nest"
"x.o159.w90_female_gonad_inc.d17","x.o159.w90","female","gonads","inc.d17","female.gonads.inc.d17","charcterization","female_gonads","x.o159.w90_female_gonad_inc.d17","hi","eggs"
"x.o159.w90_female_hypothalamus_inc.d17","x.o159.w90","female","hypothalamus","inc.d17","female.hypothalamus.inc.d17","charcterization","female_hypothalamus","x.o159.w90_female_hypothalamus_inc.d17","hi","eggs"
"x.o159.w90_female_pituitary_inc.d17","x.o159.w90","female","pituitary","inc.d17","female.pituitary.inc.d17","charcterization","female_pituitary","x.o159.w90_female_pituitary_inc.d17","hi","eggs"
"x.o160.w102_male_gonad_hatch","x.o160.w102","male","gonads","hatch","male.gonads.hatch","charcterization","male_gonads","x.o160.w102_male_gonad_hatch","hi","chicks"
"x.o160.w102_male_hypothalamus_hatch","x.o160.w102","male","hypothalamus","hatch","male.hypothalamus.hatch","charcterization","male_hypothalamus","x.o160.w102_male_hypothalamus_hatch","hi","chicks"
"x.o160.w102_male_pituitary_hatch","x.o160.w102","male","pituitary","hatch","male.pituitary.hatch","charcterization","male_pituitary","x.o160.w102_male_pituitary_hatch","hi","chicks"
"x.o163.w101_male_gonad_inc.d3","x.o163.w101","male","gonads","inc.d3","male.gonads.inc.d3","charcterization","male_gonads","x.o163.w101_male_gonad_inc.d3","lo","eggs"
"x.o163.w101_male_hypothalamus_inc.d3","x.o163.w101","male","hypothalamus","inc.d3","male.hypothalamus.inc.d3","charcterization","male_hypothalamus","x.o163.w101_male_hypothalamus_inc.d3","lo","eggs"
"x.o163.w101_male_pituitary_inc.d3.NYNO","x.o163.w101","male","pituitary","inc.d3","male.pituitary.inc.d3","charcterization","male_pituitary","x.o163.w101_male_pituitary_inc.d3.NYNO","lo","eggs"
"x.o164.w123_male_gonad_n5","x.o164.w123","male","gonads","n5","male.gonads.n5","charcterization","male_gonads","x.o164.w123_male_gonad_n5","hi","chicks"
"x.o164.w123_male_hypothalamus_n5","x.o164.w123","male","hypothalamus","n5","male.hypothalamus.n5","charcterization","male_hypothalamus","x.o164.w123_male_hypothalamus_n5","hi","chicks"
"x.o164.w123_male_pituitary_n5.NYNO","x.o164.w123","male","pituitary","n5","male.pituitary.n5","charcterization","male_pituitary","x.o164.w123_male_pituitary_n5.NYNO","hi","chicks"
"x.o171.w45_female_gonad_m.hatch","x.o171.w45","female","gonads","m.n2","female.gonads.m.n2","manipulation","female_gonads","x.o171.w45_female_gonad_m.hatch","hi","nest"
"x.o171.w45_female_hypothalamus_m.hatch","x.o171.w45","female","hypothalamus","m.n2","female.hypothalamus.m.n2","manipulation","female_hypothalamus","x.o171.w45_female_hypothalamus_m.hatch","hi","nest"
"x.o171.w45_female_pituitary_m.hatch","x.o171.w45","female","pituitary","m.n2","female.pituitary.m.n2","manipulation","female_pituitary","x.o171.w45_female_pituitary_m.hatch","hi","nest"
"x.o175.g21_female_gonad_n5","x.o175.g21","female","gonads","n5","female.gonads.n5","charcterization","female_gonads","x.o175.g21_female_gonad_n5","hi","chicks"
"x.o175.g21_female_hypothalamus_n5","x.o175.g21","female","hypothalamus","n5","female.hypothalamus.n5","charcterization","female_hypothalamus","x.o175.g21_female_hypothalamus_n5","hi","chicks"
"x.o175.g21_female_pituitary_n5","x.o175.g21","female","pituitary","n5","female.pituitary.n5","charcterization","female_pituitary","x.o175.g21_female_pituitary_n5","hi","chicks"
"x.o2_male_gonad_n9","x.o2","male","gonads","n9","male.gonads.n9","charcterization","male_gonads","x.o2_male_gonad_n9","lo","chicks"
"x.o2_male_hypothalamus_n9","x.o2","male","hypothalamus","n9","male.hypothalamus.n9","charcterization","male_hypothalamus","x.o2_male_hypothalamus_n9","lo","chicks"
"x.o2_male_pituitary_n9","x.o2","male","pituitary","n9","male.pituitary.n9","charcterization","male_pituitary","x.o2_male_pituitary_n9","lo","chicks"
"x.o30.g134_male_gonad_bldg","x.o30.g134","male","gonads","bldg","male.gonads.bldg","charcterization","male_gonads","x.o30.g134_male_gonad_bldg","lo","nest"
"x.o30.g134_male_hypothalamus_bldg","x.o30.g134","male","hypothalamus","bldg","male.hypothalamus.bldg","charcterization","male_hypothalamus","x.o30.g134_male_hypothalamus_bldg","lo","nest"
"x.o30.g134_male_pituitary_bldg","x.o30.g134","male","pituitary","bldg","male.pituitary.bldg","charcterization","male_pituitary","x.o30.g134_male_pituitary_bldg","lo","nest"
"x.o37.blu50_female_gonad_hatch","x.o37.blu50","female","gonads","hatch","female.gonads.hatch","charcterization","female_gonads","x.o37.blu50_female_gonad_hatch","hi","chicks"
"x.o37.blu50_female_hypothalamus_hatch.NYNO","x.o37.blu50","female","hypothalamus","hatch","female.hypothalamus.hatch","charcterization","female_hypothalamus","x.o37.blu50_female_hypothalamus_hatch.NYNO","hi","chicks"
"x.o37.blu50_female_pituitary_hatch","x.o37.blu50","female","pituitary","hatch","female.pituitary.hatch","charcterization","female_pituitary","x.o37.blu50_female_pituitary_hatch","hi","chicks"
"x.o40.r70_male_gonad_m.inc.d17","x.o40.r70","male","gonads","m.inc.d17","male.gonads.m.inc.d17","manipulation","male_gonads","x.o40.r70_male_gonad_m.inc.d17","hi","nest"
"x.o40.r70_male_hypothalamus_m.inc.d17","x.o40.r70","male","hypothalamus","m.inc.d17","male.hypothalamus.m.inc.d17","manipulation","male_hypothalamus","x.o40.r70_male_hypothalamus_m.inc.d17","hi","nest"
"x.o40.r70_male_pituitary_m.inc.d17","x.o40.r70","male","pituitary","m.inc.d17","male.pituitary.m.inc.d17","manipulation","male_pituitary","x.o40.r70_male_pituitary_m.inc.d17","hi","nest"
"x.o47.y82_male_gonad_inc.d9","x.o47.y82","male","gonads","inc.d9","male.gonads.inc.d9","charcterization","male_gonads","x.o47.y82_male_gonad_inc.d9","lo","eggs"
"x.o47.y82_male_hypothalamus_inc.d9","x.o47.y82","male","hypothalamus","inc.d9","male.hypothalamus.inc.d9","charcterization","male_hypothalamus","x.o47.y82_male_hypothalamus_inc.d9","lo","eggs"
"x.o47.y82_male_pituitary_inc.d9","x.o47.y82","male","pituitary","inc.d9","male.pituitary.inc.d9","charcterization","male_pituitary","x.o47.y82_male_pituitary_inc.d9","lo","eggs"
"x.o4_male_gonad_m.hatch","x.o4","male","gonads","m.n2","male.gonads.m.n2","manipulation","male_gonads","x.o4_male_gonad_m.hatch","hi","nest"
"x.o4_male_hypothalamus_m.hatch","x.o4","male","hypothalamus","m.n2","male.hypothalamus.m.n2","manipulation","male_hypothalamus","x.o4_male_hypothalamus_m.hatch","hi","nest"
"x.o4_male_pituitary_m.hatch","x.o4","male","pituitary","m.n2","male.pituitary.m.n2","manipulation","male_pituitary","x.o4_male_pituitary_m.hatch","hi","nest"
"x.o61_female_gonad_extend.hatch","x.o61","female","gonads","extend","female.gonads.extend","manipulation","female_gonads","x.o61_female_gonad_extend.hatch","hi","chicks"
"x.o61_female_hypothalamus_extend.hatch","x.o61","female","hypothalamus","extend","female.hypothalamus.extend","manipulation","female_hypothalamus","x.o61_female_hypothalamus_extend.hatch","hi","chicks"
"x.o61_female_pituitary_extend.hatch","x.o61","female","pituitary","extend","female.pituitary.extend","manipulation","female_pituitary","x.o61_female_pituitary_extend.hatch","hi","chicks"
"x.o68_male_gonad_n5","x.o68","male","gonads","n5","male.gonads.n5","charcterization","male_gonads","x.o68_male_gonad_n5","hi","chicks"
"x.o68_male_hypothalamus_n5","x.o68","male","hypothalamus","n5","male.hypothalamus.n5","charcterization","male_hypothalamus","x.o68_male_hypothalamus_n5","hi","chicks"
"x.o68_male_pituitary_n5","x.o68","male","pituitary","n5","male.pituitary.n5","charcterization","male_pituitary","x.o68_male_pituitary_n5","hi","chicks"
"x.o70_female_gonad_n5","x.o70","female","gonads","n5","female.gonads.n5","charcterization","female_gonads","x.o70_female_gonad_n5","hi","chicks"
"x.o70_female_hypothalamus_n5.NYNO","x.o70","female","hypothalamus","n5","female.hypothalamus.n5","charcterization","female_hypothalamus","x.o70_female_hypothalamus_n5.NYNO","hi","chicks"
"x.o70_female_pituitary_n5","x.o70","female","pituitary","n5","female.pituitary.n5","charcterization","female_pituitary","x.o70_female_pituitary_n5","hi","chicks"
"x.r10.w18_male_gonad_m.inc.d17","x.r10.w18","male","gonads","m.inc.d17","male.gonads.m.inc.d17","manipulation","male_gonads","x.r10.w18_male_gonad_m.inc.d17","hi","nest"
"x.r10.w18_male_hypothalamus_m.inc.d17","x.r10.w18","male","hypothalamus","m.inc.d17","male.hypothalamus.m.inc.d17","manipulation","male_hypothalamus","x.r10.w18_male_hypothalamus_m.inc.d17","hi","nest"
"x.r10.w18_male_pituitary_m.inc.d17","x.r10.w18","male","pituitary","m.inc.d17","male.pituitary.m.inc.d17","manipulation","male_pituitary","x.r10.w18_male_pituitary_m.inc.d17","hi","nest"
"x.r178_male_gonad_hatch","x.r178","male","gonads","hatch","male.gonads.hatch","charcterization","male_gonads","x.r178_male_gonad_hatch","hi","chicks"
"x.r178_male_hypothalamus_hatch","x.r178","male","hypothalamus","hatch","male.hypothalamus.hatch","charcterization","male_hypothalamus","x.r178_male_hypothalamus_hatch","hi","chicks"
"x.r178_male_pituitary_hatch","x.r178","male","pituitary","hatch","male.pituitary.hatch","charcterization","male_pituitary","x.r178_male_pituitary_hatch","hi","chicks"
"x.r180_female_gonad_m.inc.d3","x.r180","female","gonads","m.inc.d3","female.gonads.m.inc.d3","manipulation","female_gonads","x.r180_female_gonad_m.inc.d3","hi","nest"
"x.r180_female_hypothalamus_m.inc.d3","x.r180","female","hypothalamus","m.inc.d3","female.hypothalamus.m.inc.d3","manipulation","female_hypothalamus","x.r180_female_hypothalamus_m.inc.d3","hi","nest"
"x.r180_female_pituitary_m.inc.d3","x.r180","female","pituitary","m.inc.d3","female.pituitary.m.inc.d3","manipulation","female_pituitary","x.r180_female_pituitary_m.inc.d3","hi","nest"
"x.r181_male_gonad_n5","x.r181","male","gonads","n5","male.gonads.n5","charcterization","male_gonads","x.r181_male_gonad_n5","hi","chicks"
"x.r181_male_hypothalamus_n5","x.r181","male","hypothalamus","n5","male.hypothalamus.n5","charcterization","male_hypothalamus","x.r181_male_hypothalamus_n5","hi","chicks"
"x.r181_male_pituitary_n5","x.r181","male","pituitary","n5","male.pituitary.n5","charcterization","male_pituitary","x.r181_male_pituitary_n5","hi","chicks"
"x.r185_male_gonad_m.inc.d3","x.r185","male","gonads","m.inc.d3","male.gonads.m.inc.d3","manipulation","male_gonads","x.r185_male_gonad_m.inc.d3","lo","nest"
"x.r185_male_hypothalamus_m.inc.d3","x.r185","male","hypothalamus","m.inc.d3","male.hypothalamus.m.inc.d3","manipulation","male_hypothalamus","x.r185_male_hypothalamus_m.inc.d3","lo","nest"
"x.r185_male_pituitary_m.inc.d3","x.r185","male","pituitary","m.inc.d3","male.pituitary.m.inc.d3","manipulation","male_pituitary","x.r185_male_pituitary_m.inc.d3","lo","nest"
"x.r29.w96_male_gonad_inc.d17","x.r29.w96","male","gonads","inc.d17","male.gonads.inc.d17","charcterization","male_gonads","x.r29.w96_male_gonad_inc.d17","lo","eggs"
"x.r29.w96_male_hypothalamus_inc.d17","x.r29.w96","male","hypothalamus","inc.d17","male.hypothalamus.inc.d17","charcterization","male_hypothalamus","x.r29.w96_male_hypothalamus_inc.d17","lo","eggs"
"x.r29.w96_male_pituitary_inc.d17","x.r29.w96","male","pituitary","inc.d17","male.pituitary.inc.d17","charcterization","male_pituitary","x.r29.w96_male_pituitary_inc.d17","lo","eggs"
"x.r33.w183_female_gonad_inc.d3","x.r33.w183","female","gonads","inc.d3","female.gonads.inc.d3","charcterization","female_gonads","x.r33.w183_female_gonad_inc.d3","lo","eggs"
"x.r33.w183_female_hypothalamus_inc.d3","x.r33.w183","female","hypothalamus","inc.d3","female.hypothalamus.inc.d3","charcterization","female_hypothalamus","x.r33.w183_female_hypothalamus_inc.d3","lo","eggs"
"x.r33.w183_female_pituitary_inc.d3","x.r33.w183","female","pituitary","inc.d3","female.pituitary.inc.d3","charcterization","female_pituitary","x.r33.w183_female_pituitary_inc.d3","lo","eggs"
"x.r39.g10_female_gonad_bldg","x.r39.g10","female","gonads","bldg","female.gonads.bldg","charcterization","female_gonads","x.r39.g10_female_gonad_bldg","lo","nest"
"x.r39.g10_female_hypothalamus_bldg","x.r39.g10","female","hypothalamus","bldg","female.hypothalamus.bldg","charcterization","female_hypothalamus","x.r39.g10_female_hypothalamus_bldg","lo","nest"
"x.r39.g10_female_pituitary_bldg","x.r39.g10","female","pituitary","bldg","female.pituitary.bldg","charcterization","female_pituitary","x.r39.g10_female_pituitary_bldg","lo","nest"
"x.r44.w95_female_gonad_hatch","x.r44.w95","female","gonads","hatch","female.gonads.hatch","charcterization","female_gonads","x.r44.w95_female_gonad_hatch","hi","chicks"
"x.r44.w95_female_hypothalamus_hatch","x.r44.w95","female","hypothalamus","hatch","female.hypothalamus.hatch","charcterization","female_hypothalamus","x.r44.w95_female_hypothalamus_hatch","hi","chicks"
"x.r44.w95_female_pituitary_hatch","x.r44.w95","female","pituitary","hatch","female.pituitary.hatch","charcterization","female_pituitary","x.r44.w95_female_pituitary_hatch","hi","chicks"
"x.r48.y139_female_gonad_inc.d17","x.r48.y139","female","gonads","inc.d17","female.gonads.inc.d17","charcterization","female_gonads","x.r48.y139_female_gonad_inc.d17","hi","eggs"
"x.r48.y139_female_hypothalamus_inc.d17","x.r48.y139","female","hypothalamus","inc.d17","female.hypothalamus.inc.d17","charcterization","female_hypothalamus","x.r48.y139_female_hypothalamus_inc.d17","hi","eggs"
"x.r48.y139_female_pituitary_inc.d17.NYNO","x.r48.y139","female","pituitary","inc.d17","female.pituitary.inc.d17","charcterization","female_pituitary","x.r48.y139_female_pituitary_inc.d17.NYNO","hi","eggs"
"x.r50.w97_female_gonad_n5","x.r50.w97","female","gonads","n5","female.gonads.n5","charcterization","female_gonads","x.r50.w97_female_gonad_n5","hi","chicks"
"x.r50.w97_female_hypothalamus_n5","x.r50.w97","female","hypothalamus","n5","female.hypothalamus.n5","charcterization","female_hypothalamus","x.r50.w97_female_hypothalamus_n5","hi","chicks"
"x.r50.w97_female_pituitary_n5","x.r50.w97","female","pituitary","n5","female.pituitary.n5","charcterization","female_pituitary","x.r50.w97_female_pituitary_n5","hi","chicks"
"x.r64.g140_male_gonad_inc.d3","x.r64.g140","male","gonads","inc.d3","male.gonads.inc.d3","charcterization","male_gonads","x.r64.g140_male_gonad_inc.d3","lo","eggs"
"x.r64.g140_male_hypothalamus_inc.d3","x.r64.g140","male","hypothalamus","inc.d3","male.hypothalamus.inc.d3","charcterization","male_hypothalamus","x.r64.g140_male_hypothalamus_inc.d3","lo","eggs"
"x.r64.g140_male_pituitary_inc.d3","x.r64.g140","male","pituitary","inc.d3","male.pituitary.inc.d3","charcterization","male_pituitary","x.r64.g140_male_pituitary_inc.d3","lo","eggs"
"x.r67.blu35_male_gonad_bldg","x.r67.blu35","male","gonads","bldg","male.gonads.bldg","charcterization","male_gonads","x.r67.blu35_male_gonad_bldg","lo","nest"
"x.r67.blu35_male_hypothalamus_bldg","x.r67.blu35","male","hypothalamus","bldg","male.hypothalamus.bldg","charcterization","male_hypothalamus","x.r67.blu35_male_hypothalamus_bldg","lo","nest"
"x.r67.blu35_male_pituitary_bldg.NYNO","x.r67.blu35","male","pituitary","bldg","male.pituitary.bldg","charcterization","male_pituitary","x.r67.blu35_male_pituitary_bldg.NYNO","lo","nest"
"x.r74.o29_female_gonad_m.hatch","x.r74.o29","female","gonads","m.n2","female.gonads.m.n2","manipulation","female_gonads","x.r74.o29_female_gonad_m.hatch","hi","nest"
"x.r74.o29_female_hypothalamus_m.hatch","x.r74.o29","female","hypothalamus","m.n2","female.hypothalamus.m.n2","manipulation","female_hypothalamus","x.r74.o29_female_hypothalamus_m.hatch","hi","nest"
"x.r74.o29_female_pituitary_m.hatch","x.r74.o29","female","pituitary","m.n2","female.pituitary.m.n2","manipulation","female_pituitary","x.r74.o29_female_pituitary_m.hatch","hi","nest"
"x.r76_female_gonad_m.inc.d9","x.r76","female","gonads","m.inc.d9","female.gonads.m.inc.d9","manipulation","female_gonads","x.r76_female_gonad_m.inc.d9","lo","nest"
"x.r76_female_hypothalamus_m.inc.d9","x.r76","female","hypothalamus","m.inc.d9","female.hypothalamus.m.inc.d9","manipulation","female_hypothalamus","x.r76_female_hypothalamus_m.inc.d9","lo","nest"
"x.r76_female_pituitary_m.inc.d9","x.r76","female","pituitary","m.inc.d9","female.pituitary.m.inc.d9","manipulation","female_pituitary","x.r76_female_pituitary_m.inc.d9","lo","nest"
"x.s188_female_gonad_m.inc.d8","x.s188","female","gonads","early","female.gonads.early","charcterization","female_gonads","x.s188_female_gonad_m.inc.d8","lo","chicks"
"x.s188_female_hypothalamus_m.inc.d8","x.s188","female","hypothalamus","early","female.hypothalamus.early","charcterization","female_hypothalamus","x.s188_female_hypothalamus_m.inc.d8","lo","chicks"
"x.s188_female_pituitary_m.inc.d8","x.s188","female","pituitary","early","female.pituitary.early","charcterization","female_pituitary","x.s188_female_pituitary_m.inc.d8","lo","chicks"
"x.w178_female_gonad_n9","x.w178","female","gonads","n9","female.gonads.n9","charcterization","female_gonads","x.w178_female_gonad_n9","hi","chicks"
"x.w178_female_hypothalamus_n9","x.w178","female","hypothalamus","n9","female.hypothalamus.n9","charcterization","female_hypothalamus","x.w178_female_hypothalamus_n9","hi","chicks"
"x.w178_female_pituitary_n9","x.w178","female","pituitary","n9","female.pituitary.n9","charcterization","female_pituitary","x.w178_female_pituitary_n9","hi","chicks"
"x.w192.o157_male_gonad_inc.d9","x.w192.o157","male","gonads","inc.d9","male.gonads.inc.d9","charcterization","male_gonads","x.w192.o157_male_gonad_inc.d9","lo","eggs"
"x.w192.o157_male_hypothalamus_inc.d9","x.w192.o157","male","hypothalamus","inc.d9","male.hypothalamus.inc.d9","charcterization","male_hypothalamus","x.w192.o157_male_hypothalamus_inc.d9","lo","eggs"
"x.w192.o157_male_pituitary_inc.d9","x.w192.o157","male","pituitary","inc.d9","male.pituitary.inc.d9","charcterization","male_pituitary","x.w192.o157_male_pituitary_inc.d9","lo","eggs"
"x.w51_female_gonad_lay","x.w51","female","gonads","lay","female.gonads.lay","charcterization","female_gonads","x.w51_female_gonad_lay","lo","eggs"
"x.w51_female_hypothalamus_lay","x.w51","female","hypothalamus","lay","female.hypothalamus.lay","charcterization","female_hypothalamus","x.w51_female_hypothalamus_lay","lo","eggs"
"x.w51_female_pituitary_lay","x.w51","female","pituitary","lay","female.pituitary.lay","charcterization","female_pituitary","x.w51_female_pituitary_lay","lo","eggs"
"x.w6_female_gonad_n9","x.w6","female","gonads","n9","female.gonads.n9","charcterization","female_gonads","x.w6_female_gonad_n9","lo","chicks"
"x.w6_female_hypothalamus_n9","x.w6","female","hypothalamus","n9","female.hypothalamus.n9","charcterization","female_hypothalamus","x.w6_female_hypothalamus_n9","lo","chicks"
"x.w6_female_pituitary_n9","x.w6","female","pituitary","n9","female.pituitary.n9","charcterization","female_pituitary","x.w6_female_pituitary_n9","lo","chicks"
"x.y.s.ATLAS_male_gonad_control","x.y.s.ATLAS","male","gonads","control","male.gonads.control","charcterization","male_gonads","x.y.s.ATLAS_male_gonad_control","lo","control"
"x.y.s.ATLAS_male_pituitary_control","x.y.s.ATLAS","male","pituitary","control","male.pituitary.control","charcterization","male_pituitary","x.y.s.ATLAS_male_pituitary_control","lo","control"
"x.y109_female_gonad_inc.d9","x.y109","female","gonads","inc.d9","female.gonads.inc.d9","charcterization","female_gonads","x.y109_female_gonad_inc.d9","lo","eggs"
"x.y109_female_hypothalamus_inc.d9","x.y109","female","hypothalamus","inc.d9","female.hypothalamus.inc.d9","charcterization","female_hypothalamus","x.y109_female_hypothalamus_inc.d9","lo","eggs"
"x.y109_female_pituitary_inc.d9","x.y109","female","pituitary","inc.d9","female.pituitary.inc.d9","charcterization","female_pituitary","x.y109_female_pituitary_inc.d9","lo","eggs"
"x.y119.w11_female_gonad_m.inc.d17","x.y119.w11","female","gonads","m.inc.d17","female.gonads.m.inc.d17","manipulation","female_gonads","x.y119.w11_female_gonad_m.inc.d17","hi","nest"
"x.y119.w11_female_hypothalamus_m.inc.d17","x.y119.w11","female","hypothalamus","m.inc.d17","female.hypothalamus.m.inc.d17","manipulation","female_hypothalamus","x.y119.w11_female_hypothalamus_m.inc.d17","hi","nest"
"x.y119.w11_female_pituitary_m.inc.d17","x.y119.w11","female","pituitary","m.inc.d17","female.pituitary.m.inc.d17","manipulation","female_pituitary","x.y119.w11_female_pituitary_m.inc.d17","hi","nest"
"x.y132.w76_male_gonad_inc.d17","x.y132.w76","male","gonads","inc.d17","male.gonads.inc.d17","charcterization","male_gonads","x.y132.w76_male_gonad_inc.d17","hi","eggs"
"x.y132.w76_male_hypothalamus_inc.d17","x.y132.w76","male","hypothalamus","inc.d17","male.hypothalamus.inc.d17","charcterization","male_hypothalamus","x.y132.w76_male_hypothalamus_inc.d17","hi","eggs"
"x.y132.w76_male_pituitary_inc.d17","x.y132.w76","male","pituitary","inc.d17","male.pituitary.inc.d17","charcterization","male_pituitary","x.y132.w76_male_pituitary_inc.d17","hi","eggs"
"x.y138.w176_female_gonad_n9","x.y138.w176","female","gonads","n9","female.gonads.n9","charcterization","female_gonads","x.y138.w176_female_gonad_n9","hi","chicks"
"x.y138.w176_female_hypothalamus_n9","x.y138.w176","female","hypothalamus","n9","female.hypothalamus.n9","charcterization","female_hypothalamus","x.y138.w176_female_hypothalamus_n9","hi","chicks"
"x.y138.w176_female_pituitary_n9","x.y138.w176","female","pituitary","n9","female.pituitary.n9","charcterization","female_pituitary","x.y138.w176_female_pituitary_n9","hi","chicks"
"x.y141.w116_male_gonad_inc.d9","x.y141.w116","male","gonads","inc.d9","male.gonads.inc.d9","charcterization","male_gonads","x.y141.w116_male_gonad_inc.d9","lo","eggs"
"x.y141.w116_male_hypothalamus_inc.d9","x.y141.w116","male","hypothalamus","inc.d9","male.hypothalamus.inc.d9","charcterization","male_hypothalamus","x.y141.w116_male_hypothalamus_inc.d9","lo","eggs"
"x.y141.w116_male_pituitary_inc.d9","x.y141.w116","male","pituitary","inc.d9","male.pituitary.inc.d9","charcterization","male_pituitary","x.y141.w116_male_pituitary_inc.d9","lo","eggs"
"x.y145.r55_female_gonad_inc.prolong","x.y145.r55","female","gonads","prolong","female.gonads.prolong","manipulation","female_gonads","x.y145.r55_female_gonad_inc.prolong","hi","eggs"
"x.y145.r55_female_hypothalamus_inc.prolong","x.y145.r55","female","hypothalamus","prolong","female.hypothalamus.prolong","manipulation","female_hypothalamus","x.y145.r55_female_hypothalamus_inc.prolong","hi","eggs"
"x.y145.r55_female_pituitary_inc.prolong","x.y145.r55","female","pituitary","prolong","female.pituitary.prolong","manipulation","female_pituitary","x.y145.r55_female_pituitary_inc.prolong","hi","eggs"
"x.y51_male_gonad_m.inc.d8","x.y51","male","gonads","early","male.gonads.early","charcterization","male_gonads","x.y51_male_gonad_m.inc.d8","lo","chicks"
"x.y51_male_hypothalamus_m.inc.d8","x.y51","male","hypothalamus","early","male.hypothalamus.early","charcterization","male_hypothalamus","x.y51_male_hypothalamus_m.inc.d8","lo","chicks"
"x.y51_male_pituitary_m.inc.d8","x.y51","male","pituitary","early","male.pituitary.early","charcterization","male_pituitary","x.y51_male_pituitary_m.inc.d8","lo","chicks"
"x.y5_female_gonad_m.inc.d8","x.y5","female","gonads","early","female.gonads.early","charcterization","female_gonads","x.y5_female_gonad_m.inc.d8","lo","chicks"
"x.y5_female_hypothalamus_m.inc.d8","x.y5","female","hypothalamus","early","female.hypothalamus.early","charcterization","female_hypothalamus","x.y5_female_hypothalamus_m.inc.d8","lo","chicks"
"x.y5_female_pituitary_m.inc.d8","x.y5","female","pituitary","early","female.pituitary.early","charcterization","female_pituitary","x.y5_female_pituitary_m.inc.d8","lo","chicks"
"x.y64_female_gonad_extend","x.y64","female","gonads","extend","female.gonads.extend","manipulation","female_gonads","x.y64_female_gonad_extend","hi","chicks"
"x.y64_female_hypothalamus_extend","x.y64","female","hypothalamus","extend","female.hypothalamus.extend","manipulation","female_hypothalamus","x.y64_female_hypothalamus_extend","hi","chicks"
"x.y64_female_pituitary_extend","x.y64","female","pituitary","extend","female.pituitary.extend","manipulation","female_pituitary","x.y64_female_pituitary_extend","hi","chicks"
